id,code,name,sort_order,created_at,updated_at
1,promotion,텔레그램 홍보방 TOP 10,0,2026-02-20 07:26:33.185068+00,2026-02-20 07:26:33.185068+00
2,taxidermy,텔레그램 박제방 TOP 10,1,2026-02-20 07:26:33.185068+00,2026-02-20 07:26:33.185068+00
3,scammer,텔레그램 사기꾼조회 TOP 10,2,2026-02-20 07:26:33.185068+00,2026-02-20 07:26:33.185068+00
4,toto,토토사이트 TOP 10,3,2026-02-20 07:26:33.185068+00,2026-02-20 07:26:33.185068+00
5,holdem,텔레그램 홀덤 TOP 10,4,2026-02-20 07:26:33.185068+00,2026-02-20 07:26:33.185068+00
6,otc,텔레그램 OTC 업자 TOP 10,5,2026-02-20 07:26:33.185068+00,2026-02-20 07:26:33.185068+00
7,agent,텔레그램 대리결제 업자 TOP 10,6,2026-02-20 07:26:33.185068+00,2026-02-20 07:26:33.185068+00
8,usim,텔레그램 유심 업자 TOP 10,7,2026-02-20 07:26:33.185068+00,2026-02-20 07:26:33.185068+00
9,010,텔레그램 010인증 업자 TOP 10,8,2026-02-20 07:26:33.185068+00,2026-02-20 07:26:33.185068+00
10,design,텔레그램 디자인 업자 TOP 10,9,2026-02-20 07:26:33.185068+00,2026-02-20 07:26:33.185068+00
11,db,텔레그램 DB 업자 TOP 10,10,2026-02-20 07:26:33.185068+00,2026-02-20 07:26:33.185068+00
12,etc,텔레그램 기타 업자 TOP 10,11,2026-02-20 07:26:33.185068+00,2026-02-20 07:26:33.185068+00
